client,context_id,context_name,field_id,field_name,field_type,value,sync_date
"Block Real Estate Services, LLC",69fdef653b208288e0a7a89f,"3rd654 - Devonshire Village Shops {Devonshire Shops, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Devonshire Village Shops {Devonshire Shops, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef653b208288e0a7a89f,"3rd654 - Devonshire Village Shops {Devonshire Shops, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-24
"Block Real Estate Services, LLC",69fdef653b208288e0a7a89f,"3rd654 - Devonshire Village Shops {Devonshire Shops, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-24
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Arrowhead Shopping Center {JW Perry, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-24
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-24
"Block Real Estate Services, LLC",69fdef6fe45e7dcf5c433fc2,"3rd667 - Oak Park KS, LLC",69bd73faa9080d01db40736f,Location,custom-fields,"Oak Park KS, LLC",2026-09-24
"Block Real Estate Services, LLC",69fdef6fe45e7dcf5c433fc2,"3rd667 - Oak Park KS, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-24
"Block Real Estate Services, LLC",69fdef6fe45e7dcf5c433fc2,"3rd667 - Oak Park KS, LLC",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-24
"Block Real Estate Services, LLC",69fdef6abf1df2fe969214c6,"3rd657 - Sni-A-Bar Plaza {KCG Investment Properties, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Sni-A-Bar Plaza {KCG Investment Properties, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef6abf1df2fe969214c6,"3rd657 - Sni-A-Bar Plaza {KCG Investment Properties, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-24
"Block Real Estate Services, LLC",69fdef6abf1df2fe969214c6,"3rd657 - Sni-A-Bar Plaza {KCG Investment Properties, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-24
"Block Real Estate Services, LLC",69fdef7d0e86e2f8723d7c04,"3rd754 - 9500 E. 63rd Street {PCJW, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"9500 E. 63rd Street {PCJW, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef7d0e86e2f8723d7c04,"3rd754 - 9500 E. 63rd Street {PCJW, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-24
"Block Real Estate Services, LLC",69fdef7d0e86e2f8723d7c04,"3rd754 - 9500 E. 63rd Street {PCJW, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-24
"Block Real Estate Services, LLC",69fdef780bb484cab5138997,"3rd743 - ECW, LLC (Skechers Building)",69bd73faa9080d01db40736f,Location,custom-fields,"ECW, LLC (Skechers Building)",2026-09-24
"Block Real Estate Services, LLC",69fdef780bb484cab5138997,"3rd743 - ECW, LLC (Skechers Building)",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-24
"Block Real Estate Services, LLC",69fdef780bb484cab5138997,"3rd743 - ECW, LLC (Skechers Building)",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-24
"Block Real Estate Services, LLC",69fdef7403a2257cd27da147,"3rd698 - 40 Hi Center {Midwest Ketter Investments, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"40 Hi Center {Midwest Ketter Investments, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef7403a2257cd27da147,"3rd698 - 40 Hi Center {Midwest Ketter Investments, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-24
"Block Real Estate Services, LLC",69fdef7403a2257cd27da147,"3rd698 - 40 Hi Center {Midwest Ketter Investments, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-24
"Block Real Estate Services, LLC",69fdef0c3b208288e0a796fa,"3rd093 - 85th & Wornall Retail {Tower Bridge Investements, LLC} (fka St. John Development)",69bd73faa9080d01db40736f,Location,custom-fields,"85th & Wornall Retail {Tower Bridge Investements, LLC} (fka St. John Development)",2026-09-24
"Block Real Estate Services, LLC",69fdef0c3b208288e0a796fa,"3rd093 - 85th & Wornall Retail {Tower Bridge Investements, LLC} (fka St. John Development)",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-24
"Block Real Estate Services, LLC",69fdef0c3b208288e0a796fa,"3rd093 - 85th & Wornall Retail {Tower Bridge Investements, LLC} (fka St. John Development)",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-24
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"D&H Properties - 80th Street {D&H Properties, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,4f24f34a-5f91-45e5-a6a1-19c51628f934,2026-09-24
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,23330c54-c69f-4cd1-b403-058dcee8e426,2026-09-24
"Block Real Estate Services, LLC",69fdef8bfa0b60fcd50d6056,"3rd868 - Pine Ridge Building H {H60 Properties, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Pine Ridge Building H {H60 Properties, LLC}",2026-09-24
"Block Real Estate Services, LLC",69fdef8bfa0b60fcd50d6056,"3rd868 - Pine Ridge Building H {H60 Properties, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,5bb73b6f-fa71-4c8d-9552-cfc66002b8ee,2026-09-24
"Block Real Estate Services, LLC",69fdef8bfa0b60fcd50d6056,"3rd868 - Pine Ridge Building H {H60 Properties, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,57d066e4-40d3-4e25-86df-f1e4e719f384,2026-09-24
"Block Real Estate Services, LLC",69fdef94fa0b60fcd50d6424,"3rd989 - Hillcrest Plaza {Dunbarton SC, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Hillcrest Plaza {Dunbarton SC, LLC}",2026-09-24
