client,vendor_id,vendor_name,document_id,document_name,document_types,status,reviewed_at,archived_at,expiration_date,issue_date,flagged,flag_level,flag_notes,applies_to_all,insurer_names,created_at,sync_date
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620b5feb0a0666575e448,parrisautocert22.jpeg,,new,,,,,false,,,true,,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620ba6afd3aa95fb2417f,parriscert223.pdf,,processed,,,2024-01-01,2023-10-20,false,,,true,Hartford Casualty Insurance Company; Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620bb8b5928c024ba215f,parriscert23.pdf,,processed,,,2024-01-01,2023-10-17,false,,,true,Hartford Casualty Insurance Company; Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620c48b5928c024ba22da,paris99.pdf,,processed,,,2023-11-10,2023-06-02,false,,,true,Hartford Casualty Insurance Company; Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620c8feb0a0666575e69c,parriscert223.pdf,,processed,,,2024-01-01,2023-10-20,false,,,true,Hartford Casualty Insurance Company; Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620ca1f712c628e563a2c,parris24.pdf,,processed,,,2024-07-01,2023-12-08,false,,,true,Hartford Casualty Insurance Company; Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620cb3b391be9f4cb9097,parriscoiwc24.pdf,,processed,,,,2023-12-06,false,,,true,Hartford Fire Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1d62446148bd849060,Parris Communications,6a0620cc6afd3aa95fb24430,parrispropertycert23.pdf,,processed,,,2024-07-01,2023-12-26,false,,,true,"Hartford Cas Ins Co
One Hartford Plaza
Hartford
CT 06155--0001",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1e62446148bd8490cc,"Psychology Office Management, Inc.",6a05e459374041e2bb94e8c1,AcordforBusiness2.pdf,,processed,,,2021-12-01,2020-12-03,false,,,true,State Farm Fire and Casualty Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1f62446148bd8490e4,"RDC, Inc.",6a060e988b5928c024b6b4a5,11.30.2020.pdf,,processed,,,2021-12-01,2020-11-30,false,,,true,Ohio Security Insurance Company; Ohio Security Insurance Company; The Ohio Casualty Insurance Company; West American Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded1f62446148bd8490e4,"RDC, Inc.",6a060e99b65dbfe99169e6ea,11.18.2020.pdf,,processed,,,2021-12-01,2020-11-19,false,,,true,Ohio Security Insurance Company; Ohio Security Insurance Company; The Ohio Casualty Insurance Company; West American Insurance Company,2026-05-14,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f0f8da3a78d6e6edb16e1d,ATL2DC9- Expires 6-30-26- Clayco GC.pdf,,processed,,,2026-06-30,2025-08-08,false,,,false,"Zurich American Insurance Company; Steadfast Insurance Company; American Guarantee and Liability Insurance Company; XL Insurance America, Inc.",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f0f8ef8721eaa234b451b8,PHX2DC4- Expired 10-30-25- Clayco GC BR.pdf,,processed,,,,,false,,,false,,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0f8ed57ee0a83026e0747,NAL2DC1- Expires 3-1-26- Gray Construction GC GL.pdf,,processed,,,2026-03-01,2025-07-30,false,,,false,Zurich American Insurance Company; --- SEE ATTACHMENT --,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0f8eed7af1b7d365ddcb6,NAL2DC1- Expires 11-30-25- Gray Construction GC BR.pdf,,processed,,,2025-11-30,2025-01-23,false,,,false,,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f0f8e922ec554f4c8a3540,FTW1DC2- Expired 7-1-25- Adolfson Peterson - GC BR.pdf,,processed,,,2025-07-01,2024-07-19,false,,,false,"XL Insurance America, Inc.",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f8d78721eaa234b44c72,ATL2DC2- Expires 5-1-26- Hitt GC.pdf,,processed,,,2026-03-01,2025-04-25,false,,,false,LM Insurance Corporation; Liberty Mutual Fire Insurance Company; Liberty Insurance Corporation; American Guarantee and Liability Insurance Company; Starr Indemnity & Liability Company; Berkley Assurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f8dcc9497d818d12bc7d,ATL2DC10- Expires 5-1-26- HITT GC.pdf,,processed,,,2026-05-01,2025-04-25,false,,,false,Liberty Insurance Corporation; Liberty Mutual Fire Insurance Company; LM Insurance Corporation; Starr Indemnity & Liability Company; American Guarantee and Liability Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f8f11f4024aa723cd1e5,RIC2DC5- Expired 11-11-25- Hitt GC BR.pdf,,processed,,,2025-11-11,2025-10-16,false,,,false,Liberty Mutual Fire Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f8f2c9497d818d12c00b,RIC2DC5- Expires 5-1-26- Hitt GC GL.pdf,,processed,,,2026-05-01,2025-04-25,false,,,false,Liberty Insurance Corporation; Liberty Mutual Fire Insurance Company; LM Insurance Corporation; Starr Indemnity & Liability Company; American Guarantee and Liability Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f0f8e257ee0a83026e0477,DFW1DC4- Expires 1-1-26- Structure Tone GC.pdf,,processed,,,2026-01-01,2024-05-20,false,,,false,"US00140068CA24A XL Insurance America
USE00187924 Allianz Global Risk US
111218015001 ACE American
PBR - 8682444-00 Zurich American",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0f8dd22ec554f4c8a33e5,CDR1 DC1 -Expires 1-1-26- Layton GC.pdf,,processed,,,2026-01-01,2025-09-25,false,,,false,"Arch Insurance Company; XL Insurance America, Inc.; Starr Indemnity & Liability Company; Arch Indemnity Insurance Company; N / A",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0f8dfbddb58e5c89fc1a9,CDR1 DC2 -Expires 1-1-26- Layton GC.pdf,,processed,,,2026-01-01,2025-09-25,false,,,false,"Arch Insurance Company; XL Insurance America, Inc.; Starr Indemnity & Liability Company; Arch Indemnity Insurance Company; N / A",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0f8e0e75cb090c7ee56aa,CDR1 DC3 -Expires 1-1-26- Layton GC.pdf,,processed,,,2026-01-01,2025-09-25,false,,,false,"Arch Insurance Company; XL Insurance America, Inc.; Starr Indemnity & Liability Company; Arch Indemnity Insurance Company; N / A",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0f8f03a78d6e6edb17216,PHX3DC14- Expires 2-5-26- Layton GC BR.pdf,,processed,,,2026-02-05,2024-10-15,false,,,false,Zurich American Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0f8e3d7af1b7d365dd969,DFW1DC5- Expired 6-1-2024- Rogers O’brien GC GL.pdf,,processed,,,2024-06-01,2024-04-04,false,,,false,American Contractors Insurance Company Risk Retention Group; ACIG Insurance Company; Valley Forge Insurance Company; The Continental Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0f8e48721eaa234b45092,DFW1DC5- Expired 11-1-2025- Rogers O’brien GC BR.pdf,,processed,,,2025-11-01,2024-05-30,false,,,false,Liberty Mutual Fire Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0f8e53a78d6e6edb170d7,DFW1DC6- Expired 3-31-2026- Rogers O’brien GC BR.pdf,,processed,,,2026-03-31,2024-07-03,false,,,false,ACE American Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0f8e71f4024aa723ccf37,DFW1DC6- Expired 6-1-2024- Rogers O’brien GC GL.pdf,,processed,,,2024-06-01,2024-04-03,false,,,false,"American Contractors Insurance Company Risk Retention Group; Valley Forge Insurance Company; The Continental Insurance Company; XL Insurance America, Inc.; Endurance American Insurance Company; ACIG Insurance Company",2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0f8eabddb58e5c89fc415,NAL1DC1- Expired 8-1-25 - White & Turner GC GL.pdf,,processed,,,2025-08-01,2024-07-31,false,,,false,The Travelers Indemnity Company; Starr Indemnity & Liability Company; The Travelers Indemnity Company of Connecticut; Travelers Casualty and Surety Company; The Charter Oak Fire Insurance Company,2026-04-28,2026-05-15
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0f8ebe75cb090c7ee5881,NAL1DC1- Expired 8-15-25 - White & Turner GC BR.pdf,,processed,,,2025-08-15,2025-07-21,false,,,false,Liberty Mutual Fire Insurance Company,2026-04-28,2026-05-15
