client,id,name,context_object,status,description,start_date,end_date,archived_at,external_codes,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fdf0f202bb2c42a87a3f39,"prg815 - One Pine Ridge Plaza {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0f63b208288e0a8013d,"prg835 - Pine Ridge Building 5 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0fc7f8ab8a84b286ed0,"prg837 - Pine Ridge Building 11 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf10038cbea6b3a6932b8,"prg838 - Pine Ridge Building 12 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf103e45e7dcf5c439919,"prg839 - Pine Ridge Building 18 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf10643ffeed6de3b1f8e,"prg841 - Pine Ridge Building 19 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf109bf1df2fe969289b3,"prg843 - Pine Ridge Building 23 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf10de45e7dcf5c439a2b,"prg845 - Pine Ridge Building 25 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf11143ffeed6de3b221e,prg848 - Eight Pine Ridge Plaza {PERG Buildings. LLC},Project,active,,,,,,2026-05-08,2026-06-08,2026-06-11
"Block Real Estate Services, LLC",69fdf11702bb2c42a87a4f1e,"prg849 - Pine Ridge Building 29 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-02,2026-06-11
"Block Real Estate Services, LLC",69fdf11fbf1df2fe9692924c,"prm791 - Prom Motor Hotel, Inc. - 7833 State Avenue",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf122d3bfa5e4945e17c3,"prm793 - Prom Motor Hotel, Inc. - 119th & Metcalf Retail",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf12502bb2c42a87a57e0,"prm796 - Prom Motor Hotel, Inc. - Airworld Industrial (fka Prom Airworld Center 9/10)",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf12c38cbea6b3a6944ae,"rl2877 - Riverside Logistics Centre II {Riverside Logistics Centre II Investors, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf13dbf1df2fe96929ddf,"rmc764 - Roe Medical Centre I {RMC Associates, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf1523b208288e0a82fde,s79050 - S-79 Investment Company,Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf15538cbea6b3a695784,"sfe739 - 1610 Santa Fe, LLC",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf1587f8ab8a84b289613,"str117 - Starbucks {Galleria 115 Investors, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf15bd3bfa5e4945e2255,"sum015 - Summit Springs Shopping Center {Summit Springs Development, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf15ebf1df2fe9692af51,"tic001 - 46 Penn Centre {46 PC Investors, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf161e45e7dcf5c43b3dd,"tic022 - Congleton Distribution Center 2 {SM Quivira, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
